# psi_n	Te [eV]	ne [m^-3]	 0+	1+	...
6.791457286432162066e-01	3.752559615999998073e+02	5.326621627757362500e+13	7.184350567822287158e-13	3.120652286339157884e-06	9.999968793469956596e-01
6.871356783919598810e-01	3.617451891097600196e+02	5.214639472885762500e+13	7.959583719297401738e-13	3.264817222657805009e-06	9.999967351819817329e-01
6.951256281407035553e-01	3.483591588249600477e+02	5.100229412720694531e+13	8.907527041227731454e-13	3.421038102484945299e-06	9.999965789610070210e-01
7.031155778894473407e-01	3.351077345689600406e+02	4.983463554876380469e+13	9.970479635756648938e-13	3.590457781392145578e-06	9.999964095412219311e-01
7.111055276381910151e-01	3.220008941977600898e+02	4.864423936971121875e+13	1.126776852974411802e-12	3.774303582021138222e-06	9.999962256952915629e-01
7.190954773869348005e-01	3.090487295999999446e+02	4.743203055416114062e+13	1.272285171582930688e-12	3.973892831791989481e-06	9.999960261058964406e-01
7.270854271356784748e-01	2.962614466969599789e+02	4.619904412540175781e+13	1.435574787286043401e-12	4.190643171028769644e-06	9.999958093553936722e-01
7.350753768844221492e-01	2.836493654425599971e+02	4.494643082469384375e+13	1.632385876982054718e-12	4.426771558119278406e-06	9.999955732268098751e-01
7.430653266331659346e-01	2.712229198233599732e+02	4.367546296185488281e+13	1.869783856735041808e-12	4.685916207650402216e-06	9.999953140819228814e-01
7.510552763819096089e-01	2.589926578585599941e+02	4.238754046191610938e+13	2.153852834822403612e-12	4.972226146747742254e-06	9.999950277716997959e-01
7.590452261306533943e-01	2.469692415999999753e+02	4.108419711218482812e+13	2.482119915621714079e-12	5.290293196084357149e-06	9.999947097043221378e-01
7.670351758793970687e-01	2.351634471321600017e+02	3.976710701409258594e+13	2.878529009127900580e-12	5.645188708514031982e-06	9.999943548084132550e-01
7.750251256281407430e-01	2.235861645721601576e+02	3.843809124425631250e+13	3.356190387370972226e-12	6.042495137577052840e-06	9.999939575015066584e-01
7.830150753768845284e-01	2.122483980697599293e+02	3.709912472922724219e+13	3.936104036985824923e-12	6.488327141490168098e-06	9.999935116689225856e-01
7.910050251256282028e-01	2.011612658073600528e+02	3.575234333844985938e+13	4.637228824411065327e-12	6.989334454890118108e-06	9.999930106609082880e-01
