# C I [m**-3]	 C II [m**-3]	 C III [m**-3]	 C IV [m**-3]	 C V [m**-3]	 C VI [m**-3]	 C VII [m**-3]	 
3.214774153212580681e+08	1.251963690528455019e+09	3.014893175860762596e+09	9.074029559058712006e+09	3.599505339290039551e+12	1.387659240180445250e+15	5.825517437398556160e+17
1.349060959494774938e+08	5.245631956544108987e+08	1.265155073408027649e+09	4.201702880987985134e+09	3.661108549012200684e+12	1.403850398348438750e+15	5.805900436270787840e+17
0.000000000000000000e+00	5.462139925191755765e+02	2.400179012286843499e+04	6.953581651571961641e+08	3.739336554245730957e+12	1.420890260606891250e+15	5.783251773657233920e+17
3.243523110533865690e+08	1.256926206966179609e+09	3.041598918492052078e+09	9.191353435489614487e+09	3.908352459846922363e+12	1.438904286199645500e+15	5.757227129631854080e+17
0.000000000000000000e+00	0.000000000000000000e+00	2.419491503821903825e+04	7.541462549391713142e+08	3.969344995046892578e+12	1.457540350580782250e+15	5.727477514806446720e+17
0.000000000000000000e+00	0.000000000000000000e+00	2.571765334021571107e+04	7.877928255566598177e+08	4.098385736442573730e+12	1.477092873256470000e+15	5.693634712086287360e+17
2.714946126711984873e+08	1.045942951450698137e+09	2.545778902623130322e+09	7.879307983837792397e+09	4.287688032532390625e+12	1.497535731949868750e+15	5.655334454860983680e+17
0.000000000000000000e+00	4.630362811953692130e+02	2.892518094813805146e+04	8.650921705679726601e+08	4.388330382622973633e+12	1.518596339369140500e+15	5.612223448534136320e+17
0.000000000000000000e+00	4.997665936844828707e+02	3.026057280140839430e+04	9.094675520931172371e+08	4.551015681175430664e+12	1.540523957012570500e+15	5.563956293069471360e+17
0.000000000000000000e+00	1.890935416405565661e+02	3.128659574781634728e+04	9.582281893259795904e+08	4.726885292819454102e+12	1.563224474787471750e+15	5.510221872690077440e+17
0.000000000000000000e+00	9.739770369713871787e+02	3.396886094090004190e+04	1.011885146659416914e+09	4.917149615741624023e+12	1.586697836347121750e+15	5.450749183047263360e+17
0.000000000000000000e+00	3.509095465405784466e+02	3.518117614239062823e+04	1.071013303050081730e+09	5.123201793051735352e+12	1.610955732491432500e+15	5.385323386756332160e+17
2.322574678589924276e+08	8.816108511279299259e+08	2.177837433073818207e+09	7.106161122463734627e+09	5.391750913022830078e+12	1.636106217404265000e+15	5.313800075900270720e+17
0.000000000000000000e+00	3.116967517342424685e+02	3.955303641107580188e+04	1.208545948062577009e+09	5.589434355287341797e+12	1.661965627340039250e+15	5.236128033235973120e+17
0.000000000000000000e+00	0.000000000000000000e+00	4.186494588874010515e+04	1.288691009913592577e+09	5.853777611705785156e+12	1.688856880143927750e+15	5.152351791792579200e+17
2.919397566049656598e+05	1.098142995542805642e+06	2.781260539053607732e+06	1.385322890072953701e+09	6.142456559720428711e+12	1.716829448895827500e+15	5.062639896903987840e+17
1.493772070752634704e+08	5.599800872539743185e+08	1.400790146534044981e+09	5.286636658816628456e+09	6.489056336604017578e+12	1.746118564418386750e+15	4.967292046334807040e+17
0.000000000000000000e+00	1.991283776429158436e+01	5.127108363618939620e+04	1.588994081712370872e+09	6.806219263455623047e+12	1.776811316707657000e+15	4.866754439085533440e+17
0.000000000000000000e+00	8.354611585836444192e+02	5.642209021149008186e+04	1.714585137514902115e+09	7.190240268830492188e+12	1.809399207520273750e+15	4.761613902710899200e+17
0.000000000000000000e+00	1.454644431405103205e+03	6.272976713001338794e+04	1.856650450288291693e+09	7.616602468607972656e+12	1.844257023647316500e+15	4.652605587452725760e+17
0.000000000000000000e+00	0.000000000000000000e+00	6.425216358496715111e+04	2.018218987988336086e+09	8.092712013035135742e+12	1.881930129992279250e+15	4.540600246189832960e+17
2.089947133890923560e+08	7.688048268474572897e+08	1.959843976993638754e+09	7.480864468113814354e+09	8.674270131388188477e+12	1.923183678023302000e+15	4.426587816878923520e+17
0.000000000000000000e+00	3.612125531637239533e+02	7.808008888236392522e+04	2.416091737599746227e+09	9.233281475990142578e+12	1.968609228649786750e+15	4.311660273941815680e+17
0.000000000000000000e+00	8.210108853301931049e+02	8.734097193378160591e+04	2.663178130401245117e+09	9.923607152819355469e+12	2.019478948887234000e+15	4.196965934473525120e+17
0.000000000000000000e+00	0.000000000000000000e+00	9.456210545922565507e+04	2.952010277140129089e+09	1.071677498825150781e+13	2.076940881958119000e+15	4.083684329382724480e+17
1.231207768896985501e+08	4.448289766665127277e+08	1.154203644984894753e+09	6.381104668211659431e+09	1.166541244502401172e+13	2.142515688143770750e+15	3.972974179911308800e+17
0.000000000000000000e+00	4.119282740950223456e+02	1.192729198572757450e+05	3.696722317960433960e+09	1.270766289496297461e+13	2.217777069894497500e+15	3.865931957034454400e+17
2.859722785725401714e+07	1.022884661490731686e+08	2.681004811924692094e+08	4.896925445208435059e+09	1.397711588942807812e+13	2.304950277439754500e+15	3.763535430143891200e+17
0.000000000000000000e+00	1.917497116174819212e+02	1.534570113199153275e+05	4.767003063312705994e+09	1.546715089976961523e+13	2.406351154841191500e+15	3.666609772252297600e+17
5.981888072661614418e+07	2.116820841878981888e+08	5.604964524475767612e+08	6.975916853100266457e+09	1.727488432604924219e+13	2.524886822919926500e+15	3.575783688497117440e+17
0.000000000000000000e+00	1.750531886059370947e+02	2.047272588285050879e+05	6.360454429209584236e+09	1.941818195369345312e+13	2.663798170657455000e+15	3.491467485343092480e+17
1.197274136216654032e+08	4.188551659617543817e+08	1.121397838093456507e+09	1.044185692424249649e+10	2.207950189836997266e+13	2.827209277624092500e+15	3.413830770342538240e+17
1.449452513028568625e+08	5.040466505359023809e+08	1.357518319059668064e+09	1.244070643339917374e+10	2.530646016103435547e+13	3.019712257856932500e+15	3.342810689009076480e+17
0.000000000000000000e+00	6.071034785690059152e+02	3.419420281614888227e+05	1.055180021036396408e+10	2.923673223133223828e+13	3.246963167995846000e+15	3.278118533769848320e+17
0.000000000000000000e+00	7.603268824051565389e+02	4.153015446738526225e+05	1.276338907143488693e+10	3.419064460246515234e+13	3.516104306593969500e+15	3.219262781169377280e+17
5.294154800138419122e+07	1.806245680923692584e+08	4.965142255768572092e+08	1.694310938425865173e+10	4.043730650196876562e+13	3.835659437440825500e+15	3.165591526713409280e+17
4.208367020220461488e+07	1.426194974769254029e+08	3.951344825323923230e+08	2.039242713748103333e+10	4.833492139296556250e+13	4.216238897281769500e+15	3.116329348421322880e+17
0.000000000000000000e+00	0.000000000000000000e+00	7.963292772189105162e+05	2.423596753238166809e+10	5.844003258787378125e+13	4.671345542666287000e+15	3.070615908957647360e+17
0.000000000000000000e+00	2.861926345176976270e+02	1.018862287042033509e+06	3.076509758889985275e+10	7.154167279074020312e+13	5.218273028965633000e+15	3.027542429522283520e+17
0.000000000000000000e+00	4.885679172802177277e+02	1.321686420455671614e+06	3.957154270715750122e+10	8.870547012155010938e+13	5.879713943277275000e+15	2.986175031699248640e+17
0.000000000000000000e+00	8.948936898231050918e+02	1.742327991482465528e+06	5.160740066709645844e+10	1.114991302313706875e+14	6.685963157975628000e+15	2.945561374476972800e+17
5.172261759167313576e+07	1.691302822993022799e+08	4.910928729120301604e+08	6.961639934246501160e+10	1.422509887833485000e+14	7.677551062865159000e+15	2.904722371947721600e+17
8.411542070382781327e+07	2.730716974810156822e+08	8.003727286933008432e+08	9.393537592262351990e+10	1.843580444374764375e+14	8.909064013701532000e+15	2.862621172547144960e+17
1.486105573933000863e+08	4.790549944053090811e+08	1.417728124804873705e+09	1.291898843574293060e+11	2.430715274158275938e+14	1.045514597818498200e+16	2.818095960357902080e+17
0.000000000000000000e+00	1.087475439602216909e+02	6.229733763634405099e+06	1.740947932543066101e+11	3.262987062208494375e+14	1.241816706505258200e+16	2.769768823898829760e+17
1.055091502869204879e+08	3.356910663798631430e+08	1.021128861319624066e+09	2.490648165811762695e+11	4.471629595699673125e+14	1.494145832329048000e+16	2.715875944639932160e+17
0.000000000000000000e+00	0.000000000000000000e+00	1.325615237989737280e+07	3.549321035071306763e+11	6.258826877309332500e+14	1.822297647402882800e+16	2.654098926668787840e+17
7.022135710534568131e+07	2.210337707531082332e+08	7.012922037743065357e+08	5.235923326991732788e+11	8.967453563926302500e+14	2.253857659710371200e+16	2.581247391972703680e+17
4.329217497614105046e+07	1.357108138751599193e+08	4.537972999106168747e+08	7.832597505259886475e+11	1.316312280064982750e+15	2.826535492923964400e+16	2.492931100080388160e+17
1.939344561128692925e+08	6.060857637687009573e+08	1.958789368988600016e+09	1.200872208089330811e+12	1.981447511572605000e+15	3.590901441813866400e+16	2.383094574304135680e+17
0.000000000000000000e+00	1.460585493732930217e+03	7.844530076981608570e+07	1.859344705721019287e+12	3.056011915276099500e+15	4.610412829719894400e+16	2.243739544499515200e+17
0.000000000000000000e+00	1.132538295187904168e+03	1.291452496637206972e+08	2.938449537968149902e+12	4.824978773048659000e+15	5.957503990371802400e+16	2.064767663589485760e+17
0.000000000000000000e+00	1.043553987711177570e+03	2.166830791595095098e+08	4.704742142305788086e+12	7.771459288277477000e+15	7.691371750860529600e+16	1.835427964241839680e+17
0.000000000000000000e+00	2.490725286673826758e+03	3.685686648095024824e+08	7.581423933302980469e+12	1.267578380822832400e+16	9.801325083083681600e+16	1.548987667457682880e+17
4.709209361781355739e+07	1.481505685204235613e+08	1.125373176151783466e+09	1.216110241680073633e+13	2.068231895501214800e+16	1.210971994871670880e+17	1.211768781305065760e+17
1.187440363373082280e+08	3.761052941404401660e+08	2.343888655865851402e+09	1.913490709020686719e+13	3.322300767189007200e+16	1.418077572079184480e+17	8.530298953233142400e+16
6.926289838859219849e+07	2.213828689255381525e+08	2.535723985224622726e+09	2.917010097890481641e+13	5.174702562302479200e+16	1.536612554254820800e+17	5.231158269887168800e+16
0.000000000000000000e+00	2.017129877092836250e+04	2.876330159800828457e+09	4.288926142622734375e+13	7.735131748623326400e+16	1.507101434557055360e+17	2.705330835020438400e+16
0.000000000000000000e+00	3.708836068734187575e+04	4.577367909351899147e+09	6.081333525290458594e+13	1.101606376618551680e+17	1.309509730745652800e+17	1.140701297055962200e+16
8.286949353676615655e+07	2.769728651775272489e+08	8.166771726220894814e+09	8.306481030766470312e+13	1.480200758336384960e+17	9.814927526867657600e+16	3.762630333223283000e+15
1.674449551796957254e+08	5.720110803311295509e+08	1.306480443560401535e+10	1.086151573489584375e+14	1.849902730632356800e+17	6.144427926207206400e+16	9.219979224263558750e+14
4.158313443837518338e+06	1.477457193269148842e+07	1.628847123822213554e+10	1.358778189055537812e+14	2.133566988939763840e+17	3.127746202288860000e+16	1.604384444017029375e+14
0.000000000000000000e+00	3.624213156197160715e+05	2.421608860498276901e+10	1.657694203882956562e+14	2.294423688127369280e+17	1.278455877982652400e+16	1.895497099036926953e+13
2.666126695521655679e+07	1.002143741367497593e+08	3.788819866901758575e+10	2.036415618245380625e+14	2.355300627500960960e+17	4.174395527906154000e+15	1.268017157559843262e+12
9.907636280444513261e+07	3.723204457490903735e+08	6.380951126158164215e+10	2.597255978981146250e+14	2.360914441459908160e+17	1.073126796160387500e+15	0.000000000000000000e+00
1.259652099617114663e+08	4.943512767064979076e+08	1.163324808331301422e+11	3.519835864284330000e+14	2.343949803823633920e+17	2.101379455771768438e+14	0.000000000000000000e+00
1.179667652696201205e+08	4.932992105795500278e+08	2.387366375554819336e+11	5.154722864670042500e+14	2.319636492527382080e+17	2.929576814312482812e+13	0.000000000000000000e+00
1.062205445862445608e+07	7.271334546837656200e+07	5.657223758542404785e+11	8.275087145244591250e+14	2.292484069170714560e+17	2.879743085530727051e+12	0.000000000000000000e+00
0.000000000000000000e+00	1.013889166838310063e+08	1.604026542867349365e+12	1.477638299432089250e+15	2.261907158185574720e+17	1.749669420797021790e+11	0.000000000000000000e+00
0.000000000000000000e+00	4.994265488173693419e+08	5.554982349349678711e+12	2.980802383272996000e+15	2.222954601723693120e+17	5.443689990526848793e+09	0.000000000000000000e+00
0.000000000000000000e+00	3.287012461377789021e+09	2.440113025126576562e+13	6.909912723092437000e+15	2.159809328732790400e+17	9.549405135433742404e+07	5.598660946699636988e+06
1.874512293426014856e+07	3.053518902946390533e+10	1.411535018407790938e+14	1.855154595635828400e+16	2.018784263883625920e+17	0.000000000000000000e+00	0.000000000000000000e+00
3.943155044550297260e+08	4.020261231688107300e+11	1.061674328090303750e+15	5.468853836529572800e+16	1.624995035567009280e+17	0.000000000000000000e+00	0.000000000000000000e+00
3.443053373309288621e+08	5.956385274807083008e+12	8.099616528221082000e+15	1.308973978278825440e+17	7.694937356839182400e+16	0.000000000000000000e+00	1.408338701631546730e+00
2.972262932001865387e+09	7.112359398851204688e+13	4.245790077791440000e+16	1.592601390522888000e+17	1.188807057224390600e+16	0.000000000000000000e+00	9.082979692303528907e+01
3.012568333360754013e+10	6.255705964639200000e+14	1.333266814367503680e+17	7.707434415094926400e+16	3.958329026097705000e+14	0.000000000000000000e+00	0.000000000000000000e+00
3.045794819188951416e+11	3.440208923634599000e+15	1.957747266527625280e+17	9.966071960952094000e+15	6.501318866391813965e+11	0.000000000000000000e+00	0.000000000000000000e+00
3.752301716107337891e+12	1.874187342616945200e+16	1.878106242092113920e+17	3.844490539311601875e+14	8.271889337758593750e+11	2.641436271161136780e+11	7.651309314088056946e+10
6.119392577331186719e+13	1.026133152142889600e+17	1.019923203309886400e+17	3.972769170517436035e+12	8.396502227585982666e+11	2.690800508273195496e+11	8.341044981286251831e+10
4.950530152447382500e+14	1.929261612929864320e+17	8.887506000524126000e+15	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.348398575272518000e+15	1.961968559562493120e+17	1.747074020673647812e+14	4.274403506671006470e+11	2.314529685668234253e+11	1.000935882293196259e+11	3.265234952901254272e+10
2.814777997508365600e+16	1.684929669724074560e+17	7.943791045750936279e+11	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.275484849463158880e+17	6.499535615519825600e+16	0.000000000000000000e+00	0.000000000000000000e+00	2.203573512984639383e+05	1.723277446077144123e+05	8.175288939822635439e+04
1.769576435492658880e+17	9.459384020285142000e+15	0.000000000000000000e+00	0.000000000000000000e+00	9.588860534156495123e+04	7.875209543391919578e+04	3.911689719329912623e+04
1.746108727096093120e+17	1.808415246581757000e+15	0.000000000000000000e+00	3.092995112069551251e+05	3.184006335938821430e+05	2.073528969492316828e+05	9.483227955197588017e+04
1.588170634415309440e+17	6.762540710429348750e+14	0.000000000000000000e+00	2.431733258131594630e+05	2.467020230469937960e+05	1.635459580161635531e+05	7.574802157892740797e+04
1.310482618358937760e+17	3.841392808195611250e+14	1.739955530007591858e+11	4.484532983258380890e+10	2.514287947939548492e+10	1.235335766189992714e+10	4.717627088484248161e+09
