# R [m]	 Z [m]
5.140468227424749292e-01	-5.752508361204011766e-02
5.157190635451505134e-01	-5.484949832775920520e-02
5.173913043478260976e-01	-5.217391304347823722e-02
5.190635451505016817e-01	-4.949832775919732475e-02
5.207357859531772659e-01	-4.682274247491635677e-02
5.224080267558528501e-01	-4.414715719063544430e-02
5.240802675585284343e-01	-4.147157190635447632e-02
5.257525083612040184e-01	-3.879598662207356385e-02
5.274247491638796026e-01	-3.612040133779259587e-02
5.290969899665551868e-01	-3.344481605351168341e-02
5.307692307692307709e-01	-3.076923076923077094e-02
5.324414715719063551e-01	-2.809364548494980296e-02
5.341137123745819393e-01	-2.541806020066889049e-02
5.357859531772575234e-01	-2.274247491638792251e-02
5.374581939799331076e-01	-2.006688963210701004e-02
5.391304347826086918e-01	-1.739130434782604206e-02
5.408026755852842760e-01	-1.471571906354512960e-02
5.424749163879598601e-01	-1.204013377926421713e-02
5.441471571906354443e-01	-9.364548494983249149e-03
5.458193979933110285e-01	-6.688963210702336681e-03
5.474916387959866126e-01	-4.013377926421368702e-03
5.491638795986621968e-01	-1.337792642140456234e-03
5.508361204013377810e-01	1.337792642140511745e-03
5.525083612040133652e-01	4.013377926421424213e-03
5.541806020066889493e-01	6.688963210702336681e-03
5.558528428093645335e-01	9.364548494983304661e-03
5.575250836120401177e-01	1.204013377926421713e-02
5.591973244147157018e-01	1.471571906354518511e-02
5.608695652173912860e-01	1.739130434782609758e-02
5.625418060200668702e-01	2.006688963210706556e-02
5.642140468227424543e-01	2.274247491638797802e-02
5.658862876254180385e-01	2.541806020066894600e-02
5.675585284280936227e-01	2.809364548494985847e-02
5.692307692307692069e-01	3.076923076923077094e-02
5.709030100334447910e-01	3.344481605351173892e-02
5.725752508361203752e-01	3.612040133779265139e-02
5.742474916387959594e-01	3.879598662207361937e-02
5.759197324414715435e-01	4.147157190635453183e-02
5.775919732441471277e-01	4.414715719063549981e-02
5.792642140468227119e-01	4.682274247491641228e-02
5.809364548494982960e-01	4.949832775919738026e-02
5.826086956521738802e-01	5.217391304347829273e-02
5.842809364548494644e-01	5.484949832775920520e-02
5.859531772575250486e-01	5.752508361204017318e-02
5.876254180602006327e-01	6.020066889632108564e-02
5.892976588628762169e-01	6.287625418060205362e-02
5.909698996655518011e-01	6.555183946488296609e-02
5.926421404682273852e-01	6.822742474916393407e-02
5.943143812709029694e-01	7.090301003344484654e-02
5.959866220735785536e-01	7.357859531772575901e-02
5.976588628762541378e-01	7.625418060200672699e-02
5.993311036789297219e-01	7.892976588628763945e-02
6.010033444816054171e-01	8.160535117056860743e-02
6.026755852842808903e-01	8.428093645484951990e-02
6.043478260869565855e-01	8.695652173913048788e-02
