# psi 	 Te[eV] 	 ne [m**-3]
7.884889569436386025e-03	1.550621701266634602e+02	2.762011229911424614e+19
8.042532181036930045e-03	1.444231266427578078e+02	2.735359540855790387e+19
8.199715778724876031e-03	1.341512621098837883e+02	2.708797236143996109e+19
8.356388578478283688e-03	1.242579428402523121e+02	2.682326781798931661e+19
8.512498796275155474e-03	1.147531735532354560e+02	2.655953831773378970e+19
8.667995283946348592e-03	1.056455235386362546e+02	2.629685589957184717e+19
8.822833690044365809e-03	9.694176150325000663e+01	2.603528921579681382e+19
8.976973781142283740e-03	8.864704853258831463e+01	2.577490366747271987e+19
9.130375381391553358e-03	8.076516757727300444e+01	2.551576614299197030e+19
9.282998314943686352e-03	7.329850629993705979e+01	2.525794416196379853e+19
9.434802405950137166e-03	6.624803946621935324e+01	2.500150547724600934e+19
9.585747478562410551e-03	5.961331506539335123e+01	2.474651792093435085e+19
9.735793356931967887e-03	5.339244503178586854e+01	2.449304934875763507e+19
9.884899865210312192e-03	4.758210149140095524e+01	2.424116762003931136e+19
1.003302682754889270e-02	4.217751943990736407e+01	2.399094058720585728e+19
1.018013406809922632e-02	3.717250667593653901e+01	2.374243608209573478e+19
1.032618141101278308e-02	3.255946168060045665e+01	2.349572188671662899e+19
1.047112868044102266e-02	2.832939996593491117e+01	2.325086566552518656e+19
1.061493492522331411e-02	2.447200912098251280e+01	2.300793611803926528e+19
1.075755208248022239e-02	2.097583219782723063e+01	2.276701332128634470e+19
1.089892826747951467e-02	1.782817273247806611e+01	2.252818234811082342e+19
1.103901155880047252e-02	1.501504914574866767e+01	2.229152501147278950e+19
1.117775003502239836e-02	1.252127375507427054e+01	2.205711564004958208e+19
1.131509177472460673e-02	1.033054247519031321e+01	2.182501186705256038e+19
1.145098485648637920e-02	8.425533485561219393e+00	2.159523446540755354e+19
1.158537735888699391e-02	6.788014049475676437e+00	2.136772369686986342e+19
1.171821736050575845e-02	5.398954561071369618e+00	2.114224592124566323e+19
1.184945293992198216e-02	4.238648791557215745e+00	2.091819622487177626e+19
1.197903217571494490e-02	3.286839193728478214e+00	2.069418668366821786e+19
1.210690314646393172e-02	2.522845988239442505e+00	2.046719943809448346e+19
1.223301393074825022e-02	1.925698569021551565e+00	2.023087203087552922e+19
1.235731999997262930e-02	1.474244371854136260e+00	1.997207535728461824e+19
1.247983537109685626e-02	1.147197727696533498e+00	1.966415413265956864e+19
1.260060191259553680e-02	9.235176371400865003e-01	1.925438411019885773e+19
1.271966166278865398e-02	7.825302794829019915e-01	1.864170275697647206e+19
1.283705665999618044e-02	7.038756682791112995e-01	1.764192879571209626e+19
1.295282894253808534e-02	6.673988844811475918e-01	1.594933175133030400e+19
1.306702054873431877e-02	6.528788119446252702e-01	1.314326621714604032e+19
